"","pub_date","main","score"
"1","1990-01-01","Soviet Deputy Prime Minister Is Seeking A Safe Path Through a Time of Change: LEONID ABALKIN, Soviet Adviser",0.307692307692308
"2","1990-01-01","Praying In The Year In Japan",0
"3","1990-01-01","PANAMA OFFICIALS SPLIT ON NORIEGA",-0.25
"4","1990-01-01","Nunn Says U.S. Should Negotiate Deeper Cuts on Troops in Europe",0
"5","1990-01-01","In a Land Without Abundance, Joy in the New Year Has Limits",0.142857142857143
"6","1990-01-01","Steelers Top Oilers With 50-Yard Field Goal",0
"7","1990-01-01","Against Heavy Odds, Treasury Secretary Makes Achievements: Nicholas F. Brady, Treasury Department",0
"8","1990-01-01","William Scott, 76, a British Artist Devoted to Still Lifes and Figures",0.125
"9","1990-01-01","Lisa Kuvin and Benjamin Schreier Wed",0
"10","1990-01-01","America West Jetliner Runs Off Tucson Runway",-0.166666666666667
"11","1990-01-01","Devaluation In Poland",0
"12","1990-01-01","An Israeli Paper Says Jews Were Released And Ceausescu Paid",0
"13","1990-01-01","Mindless Macho in Panama",0
"14","1990-01-01","90's, in Poll: A Good Life Amid Old Ills",0
"15","1990-01-01","Blazing a Trail",0
"16","1990-01-01","RESULTS PLUS",0
"17","1990-01-01","Poet Who Jousted Soviets Loses to Burglars",-0.4
"18","1990-01-01","For Dinkins, Pomp, Ceremony, Triumph And a Dream Realized",0.5
"19","1990-01-01","Holiday Box",-0.5
"20","1990-01-01","CNN Lawsuit On Vietnam",0
"21","1990-01-01","Washington Talk;   For Bush in 1989, the Focus Was Foreign Policy",-0.166666666666667
"22","1990-01-01","Industry Group Formed to Exploit Technology Developed by Military",0
"23","1990-01-01","Soweto Journal;   To Be Black and a Police Officer: Perils and Pride",0
"24","1990-01-01","Times Square Ushers in the 90's",0.333333333333333
"25","1990-01-01","How Ancients Improved On Their Natural Good Looks",0.6
"26","1990-01-02","Reason and Law Reject Our Panama Invasion",0.2
"27","1990-01-02","Upheaval in the East;   Castro Remains Adamant",0
"28","1990-01-02","Billy Crystal to Be Host Of Oscar Ceremonies",0.2
"29","1990-01-02","Lackluster Colorado Leveled by Notre Dame",0
"30","1990-01-02","For Many On Wall St., A Post-80's Hangover",0
"31","1990-01-02","After Long Wait, Help for Cleaning a Toxic Dump",-0.166666666666667
"32","1990-01-02","Computertime Network reports earnings for Qtr to Oct 31",0
"33","1990-01-02","Into the Fire: How Past Mayors Started Their Administrations",-0.2
"34","1990-01-02","I.M.F. and World Bank Face New Task in Eastern Europe",0
"35","1990-01-02","Atlantic Express Inc reports earnings for Qtr to Sept 30",0
"36","1990-01-02","Three Names for S.E.C.",0
"37","1990-01-02","NEWS SUMMARY",0
"38","1990-01-02","Upheaval in the East: Security Police;   RUMANIA DISBANDS REBELLIOUS FORCE",-0.25
"39","1990-01-02","Our Towns;   Where Changes In the U.S.S.R. Resonate Loudly",0
"40","1990-01-02","Jane Dauber Wed To M. L. Lewittes",0
"41","1990-01-02","Upheaval in the East: Havel's Vision;   Excerpts From Speech By the Czech President",-0.125
"42","1990-01-02","BEI Holdings Ltd reports earnings for Qtr to Oct 31",0
"43","1990-01-02","Continents In Motion: Patchwork Process",0
"44","1990-01-02","DC-10 Bound for New York Makes Emergency Landing",-0.333333333333333
"45","1990-01-02","Upheaval in the East;   For First Time Since 1917, the Bells Peal at St. Basil's",-0.125
"46","1990-01-02","'Pumped Up' Auburn Stops Ohio State",0.2
"47","1990-01-02","Upheaval in the East: Bucharest;   NEW RULING GROUP IN RUMANIA TO VIE IN APRIL ELECTIONS",-0.2
"48","1990-01-02","Soviets Beat Rangers In Exhibition Contest",-0.2
"49","1990-01-02","Technology Companies Dominate Active List",0.2
"50","1990-01-02","Vast Cheating Forces Many in India to Retake Scholastic Test",0
"51","1990-01-03","Couple Enter Not Guilty Pleas To Missouri Murder Charges",-0.428571428571429
"52","1990-01-03","Bangladesh Curtails Protests",-0.666666666666667
"53","1990-01-03","Murdoch Hires Outsider To Run British Papers",-0.333333333333333
"54","1990-01-03","Notre Dame Only Played 1 Bad Game",0.2
"55","1990-01-03","Midmonth Car Sales Down 21.3%",0
"56","1990-01-03","Lisbon Premier Shuffles Unpopular Cabinet",0
"57","1990-01-03","Czechoslovak President Visits Wall and Buries It",-0.2
"58","1990-01-03","About Education",1
"59","1990-01-03","Oracle Systems reports earnings for Qtr to Nov 30",0
"60","1990-01-03","Celebrating 2 Ex-Knicks",0.5
